diyogon 36347 Sun Aug 28 17:38:11 2016

Avatar 0:(4,34) Moving north.
0:(4,33) 1:(17,21) 2:(3,30) Avatar 1:(17,21) Moving north.
0:(13,36) 1:(23,20) 2:(12,30) Avatar 1:(23,20) Moving east.
0:(13,36) 1:(24,20) 2:(12,30) Avatar 2:(12,30) Moving south.
0:(13,36) 1:(24,20) 2:(12,30) Avatar 0:(13,36) Moving south.
0:(13,37) 1:(24,20) 2:(12,30) Avatar 1:(24,20) Moving north.
0:(13,37) 1:(24,20) 2:(12,30) Avatar 2:(12,30) Moving west.
0:(13,37) 1:(24,20) 2:(11,30) Avatar 0:(13,37) Moving east.
0:(13,37) 1:(24,20) 2:(11,30) Avatar 1:(24,20) Moving east.
0:(13,37) 1:(24,20) 2:(11,30) Avatar 2:(11,30) Moving north.
0:(13,37) 1:(24,20) 2:(11,30) Avatar 0:(13,37) Moving south.
0:(13,38) 1:(24,20) 2:(11,30) Avatar 1:(24,20) Moving south.
0:(13,38) 1:(24,20) 2:(11,30) Avatar 2:(11,30) Moving south.
0:(13,38) 1:(24,20) 2:(11,30) Avatar 0:(13,38) Moving east.
0:(13,38) 1:(24,20) 2:(11,30) Avatar 1:(24,20) Moving west.
0:(13,38) 1:(23,20) 2:(11,30) Avatar 2:(11,30) Moving west.
0:(13,38) 1:(23,20) 2:(10,30) Avatar 0:(13,38) Moving south.
0:(13,38) 1:(23,20) 2:(10,30) Avatar 1:(23,20) Moving south.
0:(13,38) 1:(23,20) 2:(10,30) Avatar 2:(10,30) Moving north.
0:(13,38) 1:(23,20) 2:(10,30) Avatar 0:(13,38) Moving west.
0:(13,38) 1:(23,20) 2:(10,30) Avatar 1:(23,20) Moving west.
0:(13,38) 1:(22,20) 2:(10,30) Avatar 2:(10,30) Moving south.
0:(13,38) 1:(22,20) 2:(10,30) Avatar 0:(13,38) Moving north.
0:(13,37) 1:(22,20) 2:(10,30) Avatar 1:(22,20) Moving south.
0:(13,37) 1:(22,20) 2:(10,30) Avatar 2:(10,30) Moving west.
0:(13,37) 1:(22,20) 2:(9,30) Avatar 0:(13,37) Moving west.
0:(12,37) 1:(22,20) 2:(9,30) Avatar 1:(22,20) Moving west.
0:(12,37) 1:(21,20) 2:(9,30) Avatar 2:(9,30) Moving north.
0:(12,37) 1:(21,20) 2:(9,30) Avatar 0:(12,37) Moving north.
0:(12,37) 1:(21,20) 2:(9,30) Avatar 1:(21,20) Moving south.
0:(12,37) 1:(21,20) 2:(9,30) Avatar 2:(9,30) Moving south.
0:(12,37) 1:(21,20) 2:(9,31) Avatar 0:(12,37) Moving south.
0:(12,38) 1:(21,20) 2:(9,31) Avatar 1:(21,20) Moving west.
0:(12,38) 1:(20,20) 2:(9,31) Avatar 2:(9,31) Moving east.
0:(12,38) 1:(20,20) 2:(9,31) Avatar 0:(12,38) Moving south.
0:(12,39) 1:(20,20) 2:(9,31) Avatar 1:(20,20) Moving south.
0:(12,39) 1:(20,21) 2:(9,31) Avatar 2:(9,31) Moving south.
0:(12,39) 1:(20,21) 2:(9,31) Avatar 0:(12,39) Moving east.
0:(13,39) 1:(20,21) 2:(9,31) Avatar 1:(20,21) Moving east.
0:(13,39) 1:(20,21) 2:(9,31) Avatar 2:(9,31) Moving west.
0:(13,39) 1:(20,21) 2:(9,31) Avatar 0:(13,39) Moving east.
0:(14,39) 1:(20,21) 2:(9,31) Avatar 1:(20,21) Moving south.
0:(14,39) 1:(20,22) 2:(9,31) Avatar 2:(9,31) Moving north.
0:(14,39) 1:(20,22) 2:(9,30) Avatar 0:(14,39) Moving north.
0:(14,38) 1:(20,22) 2:(9,30) Avatar 1:(20,22) Moving east.
0:(14,38) 1:(20,22) 2:(9,30) Avatar 2:(9,30) Moving west.
0:(14,38) 1:(20,22) 2:(8,30) Avatar 0:(14,38) Moving north.
0:(14,38) 1:(20,22) 2:(8,30) Avatar 1:(20,22) Moving south.
0:(14,38) 1:(20,23) 2:(8,30) Avatar 2:(8,30) Moving north.
0:(14,38) 1:(20,23) 2:(8,29) Avatar 0:(14,38) Moving east.
0:(15,38) 1:(20,23) 2:(8,29) Avatar 1:(20,23) Moving east.
0:(15,38) 1:(20,23) 2:(8,29) Avatar 2:(8,29) Moving north.
0:(15,38) 1:(20,23) 2:(8,29) Avatar 0:(15,38) Moving north.
0:(15,38) 1:(20,23) 2:(8,29) Avatar 1:(20,23) Moving south.
0:(15,38) 1:(20,24) 2:(8,29) Avatar 2:(8,29) Moving east.
0:(15,38) 1:(20,24) 2:(8,29) Avatar 0:(15,38) Moving east.
0:(15,38) 1:(20,24) 2:(8,29) Avatar 1:(20,24) Moving east.
0:(15,38) 1:(21,24) 2:(8,29) Avatar 2:(8,29) Moving west.
0:(15,38) 1:(21,24) 2:(7,29) Avatar 0:(15,38) Moving south.
0:(15,39) 1:(21,24) 2:(7,29) Avatar 1:(21,24) Moving north.
0:(15,39) 1:(21,24) 2:(7,29) Avatar 2:(7,29) Moving north.
0:(15,39) 1:(21,24) 2:(7,29) Avatar 0:(15,39) Moving east.
0:(16,39) 1:(21,24) 2:(7,29) Avatar 1:(21,24) Moving east.
0:(16,39) 1:(22,24) 2:(7,29) Avatar 2:(7,29) Moving south.
0:(16,39) 1:(22,24) 2:(7,30) Avatar 0:(16,39) Moving north.
0:(16,39) 1:(22,24) 2:(7,30) Avatar 1:(22,24) Moving north.
0:(16,39) 1:(22,24) 2:(7,30) Avatar 2:(7,30) Moving east.
0:(16,39) 1:(22,24) 2:(7,30) Avatar 0:(16,39) Moving east.
0:(17,39) 1:(22,24) 2:(7,30) Avatar 1:(22,24) Moving east.
0:(17,39) 1:(23,24) 2:(7,30) Avatar 2:(7,30) Moving south.
0:(17,39) 1:(23,24) 2:(7,31) Avatar 0:(17,39) Moving north.
0:(17,39) 1:(23,24) 2:(7,31) Avatar 1:(23,24) Moving north.
0:(17,39) 1:(23,24) 2:(7,31) Avatar 2:(7,31) Moving east.
0:(17,39) 1:(23,24) 2:(8,31) Avatar 0:(17,39) Moving east.
0:(18,39) 1:(23,24) 2:(8,31) Avatar 1:(23,24) Moving east.
0:(18,39) 1:(23,24) 2:(8,31) Avatar 2:(8,31) Moving north.
0:(18,39) 1:(23,24) 2:(8,31) Avatar 0:(18,39) Moving north.
0:(18,39) 1:(23,24) 2:(8,31) Avatar 1:(23,24) Moving south.
0:(18,39) 1:(23,25) 2:(8,31) Avatar 2:(8,31) Moving south.
0:(18,39) 1:(23,25) 2:(8,32) Avatar 0:(18,39) Moving east.
0:(19,39) 1:(23,25) 2:(8,32) Avatar 1:(23,25) Moving east.
0:(19,39) 1:(23,25) 2:(8,32) Avatar 2:(8,32) Moving east.
0:(19,39) 1:(23,25) 2:(9,32) Avatar 0:(19,39) Moving north.
0:(19,39) 1:(23,25) 2:(9,32) Avatar 1:(23,25) Moving south.
0:(19,39) 1:(23,26) 2:(9,32) Avatar 2:(9,32) Moving east.
0:(19,39) 1:(23,26) 2:(9,32) Avatar 0:(19,39) Moving east.
0:(20,39) 1:(23,26) 2:(9,32) Avatar 1:(23,26) Moving east.
0:(20,39) 1:(24,26) 2:(9,32) Avatar 2:(9,32) Moving south.
0:(20,39) 1:(24,26) 2:(9,33) Avatar 0:(20,39) Moving north.
0:(20,38) 1:(24,26) 2:(9,33) Avatar 1:(24,26) Moving north.
0:(20,38) 1:(24,26) 2:(9,33) Avatar 2:(9,33) Moving east.
0:(20,38) 1:(24,26) 2:(10,33) Avatar 0:(20,38) Moving north.
0:(20,37) 1:(24,26) 2:(10,33) Avatar 1:(24,26) Moving east.
0:(20,37) 1:(24,26) 2:(10,33) Avatar 2:(10,33) Moving north.
0:(20,37) 1:(24,26) 2:(10,32) Avatar 0:(20,37) Moving north.
0:(20,37) 1:(24,26) 2:(10,32) Avatar 1:(24,26) Moving south.
0:(20,37) 1:(24,27) 2:(10,32) Avatar 2:(10,32) Moving north.
0:(20,37) 1:(24,27) 2:(10,31) Avatar 0:(20,37) Moving east.
0:(21,37) 1:(24,27) 2:(10,31) Avatar 1:(24,27) Moving east.
0:(21,37) 1:(24,27) 2:(10,31) Avatar 2:(10,31) Moving east.
0:(21,37) 1:(24,27) 2:(11,31) Avatar 0:(21,37) Moving north.
0:(21,37) 1:(24,27) 2:(11,31) Avatar 1:(24,27) Moving south.
0:(21,37) 1:(24,27) 2:(11,31) Avatar 2:(11,31) Moving east.
0:(21,37) 1:(24,27) 2:(12,31) Avatar 0:(21,37) Moving east.
0:(22,37) 1:(24,27) 2:(12,31) Avatar 1:(24,27) Moving west.
0:(22,37) 1:(24,27) 2:(12,31) Avatar 2:(12,31) Moving east.
0:(22,37) 1:(24,27) 2:(12,31) Avatar 0:(22,37) Moving north.
0:(22,36) 1:(24,27) 2:(12,31) Avatar 1:(24,27) Moving north.
0:(22,36) 1:(24,26) 2:(12,31) Avatar 2:(12,31) Moving south.
0:(22,36) 1:(24,26) 2:(12,32) Avatar 0:(22,36) Moving north.
0:(22,35) 1:(24,26) 2:(12,32) Avatar 1:(24,26) Moving west.
0:(22,35) 1:(23,26) 2:(12,32) Avatar 2:(12,32) Moving east.
0:(22,35) 1:(23,26) 2:(12,32) Avatar 0:(22,35) Moving north.
0:(22,34) 1:(23,26) 2:(12,32) Avatar 1:(23,26) Moving south.
0:(22,34) 1:(23,26) 2:(12,32) Avatar 2:(12,32) Moving south.
0:(22,34) 1:(23,26) 2:(12,32) Avatar 0:(22,34) Moving north.
0:(22,34) 1:(23,26) 2:(12,32) Avatar 1:(23,26) Moving west.
0:(22,34) 1:(22,26) 2:(12,32) Avatar 2:(12,32) Moving west.
0:(22,34) 1:(22,26) 2:(11,32) Avatar 0:(22,34) Moving east.
0:(23,34) 1:(22,26) 2:(11,32) Avatar 1:(22,26) Moving north.
0:(23,34) 1:(22,25) 2:(11,32) Avatar 2:(11,32) Moving north.
0:(23,34) 1:(22,25) 2:(11,32) Avatar 0:(23,34) Moving north.
0:(23,34) 1:(22,25) 2:(11,32) Avatar 1:(22,25) Moving north.
0:(23,34) 1:(22,25) 2:(11,32) Avatar 2:(11,32) Moving south.
0:(23,34) 1:(22,25) 2:(11,33) Avatar 0:(23,34) Moving east.
0:(23,34) 1:(22,25) 2:(11,33) Avatar 1:(22,25) Moving east.
0:(23,34) 1:(22,25) 2:(11,33) Avatar 2:(11,33) Moving east.
0:(23,34) 1:(22,25) 2:(12,33) Avatar 0:(23,34) Moving south.
0:(23,35) 1:(22,25) 2:(12,33) Avatar 1:(22,25) Moving west.
0:(23,35) 1:(21,25) 2:(12,33) Avatar 2:(12,33) Moving east.
0:(23,35) 1:(21,25) 2:(13,33) Avatar 0:(23,35) Moving east.
0:(24,35) 1:(21,25) 2:(13,33) Avatar 1:(21,25) Moving north.
0:(24,35) 1:(21,25) 2:(13,33) Avatar 2:(13,33) Moving north.
0:(24,35) 1:(21,25) 2:(13,32) Avatar 0:(24,35) Moving north.
0:(24,34) 1:(21,25) 2:(13,32) Avatar 1:(21,25) Moving south.
0:(24,34) 1:(21,25) 2:(13,32) Avatar 2:(13,32) Moving north.
0:(24,34) 1:(21,25) 2:(13,32) Avatar 0:(24,34) Moving north.
0:(24,33) 1:(21,25) 2:(13,32) Avatar 1:(21,25) Moving west.
0:(24,33) 1:(20,25) 2:(13,32) Avatar 2:(13,32) Moving east.
0:(24,33) 1:(20,25) 2:(14,32) Avatar 0:(24,33) Moving north.
0:(24,32) 1:(20,25) 2:(14,32) Avatar 1:(20,25) Moving north.
0:(24,32) 1:(20,25) 2:(14,32) Avatar 2:(14,32) Moving north.
0:(24,32) 1:(20,25) 2:(14,32) Avatar 0:(24,32) Moving north.
0:(24,32) 1:(20,25) 2:(14,32) Avatar 1:(20,25) Moving south.
0:(24,32) 1:(20,25) 2:(14,32) Avatar 2:(14,32) Moving east.
0:(24,32) 1:(20,25) 2:(15,32) Avatar 0:(24,32) Moving east.
0:(25,32) 1:(20,25) 2:(15,32) Avatar 1:(20,25) Moving west.
0:(25,32) 1:(20,25) 2:(15,32) Avatar 2:(15,32) Moving north.
0:(25,32) 1:(20,25) 2:(15,32) Avatar 0:(25,32) Moving north.
0:(25,31) 1:(20,25) 2:(15,32) Avatar 1:(20,25) Moving east.
0:(25,31) 1:(21,25) 2:(15,32) Avatar 2:(15,32) Moving east.
0:(25,31) 1:(21,25) 2:(16,32) Avatar 0:(25,31) Moving north.
0:(25,31) 1:(21,25) 2:(16,32) Avatar 1:(21,25) Moving east.
0:(25,31) 1:(22,25) 2:(16,32) Avatar 2:(16,32) Moving north.
0:(25,31) 1:(22,25) 2:(16,32) Avatar 0:(25,31) Moving east.
0:(25,31) 1:(22,25) 2:(16,32) Avatar 1:(22,25) Moving south.
0:(25,31) 1:(22,26) 2:(16,32) Avatar 2:(16,32) Moving east.
0:(25,31) 1:(22,26) 2:(17,32) Avatar 0:(25,31) Moving west.
0:(24,31) 1:(22,26) 2:(17,32) Avatar 1:(22,26) Moving south.
0:(24,31) 1:(22,26) 2:(17,32) Avatar 2:(17,32) Moving north.
0:(24,31) 1:(22,26) 2:(17,31) Avatar 0:(24,31) Moving north.
0:(24,30) 1:(22,26) 2:(17,31) Avatar 1:(22,26) Moving west.
0:(24,30) 1:(22,26) 2:(17,31) Avatar 2:(17,31) Moving north.
0:(24,30) 1:(22,26) 2:(17,31) Avatar 0:(24,30) Moving north.
0:(24,30) 1:(22,26) 2:(17,31) Avatar 1:(22,26) Moving east.
0:(24,30) 1:(23,26) 2:(17,31) Avatar 2:(17,31) Moving east.
0:(24,30) 1:(23,26) 2:(17,31) Avatar 0:(24,30) Moving east.
0:(25,30) 1:(23,26) 2:(17,31) Avatar 1:(23,26) Moving north.
0:(25,30) 1:(23,25) 2:(17,31) Avatar 2:(17,31) Moving west.
0:(25,30) 1:(23,25) 2:(16,31) Avatar 0:(25,30) Moving north.
0:(25,30) 1:(23,25) 2:(16,31) Avatar 1:(23,25) Moving north.
0:(25,30) 1:(23,24) 2:(16,31) Avatar 2:(16,31) Moving north.
0:(25,30) 1:(23,24) 2:(16,30) Avatar 0:(25,30) Moving east.
0:(26,30) 1:(23,24) 2:(16,30) Avatar 1:(23,24) Moving west.
0:(26,30) 1:(22,24) 2:(16,30) Avatar 2:(16,30) Moving north.
0:(26,30) 1:(22,24) 2:(16,30) Avatar 0:(26,30) Moving north.
0:(26,29) 1:(22,24) 2:(16,30) Avatar 1:(22,24) Moving west.
0:(26,29) 1:(21,24) 2:(16,30) Avatar 2:(16,30) Moving east.
0:(26,29) 1:(21,24) 2:(17,30) Avatar 0:(26,29) Moving north.
0:(26,29) 1:(21,24) 2:(17,30) Avatar 1:(21,24) Moving west.
0:(26,29) 1:(20,24) 2:(17,30) Avatar 2:(17,30) Moving north.
0:(26,29) 1:(20,24) 2:(17,29) Avatar 0:(26,29) Moving east.
0:(26,29) 1:(20,24) 2:(17,29) Avatar 1:(20,24) Moving west.
0:(26,29) 1:(20,24) 2:(17,29) Avatar 2:(17,29) Moving north.
0:(26,29) 1:(20,24) 2:(17,28) Avatar 0:(26,29) Moving west.
0:(25,29) 1:(20,24) 2:(17,28) Avatar 1:(20,24) Moving north.
0:(25,29) 1:(20,23) 2:(17,28) Avatar 2:(17,28) Moving north.
0:(25,29) 1:(20,23) 2:(17,27) Avatar 0:(25,29) Moving north.
0:(25,29) 1:(20,23) 2:(17,27) Avatar 1:(20,23) Moving west.
0:(25,29) 1:(19,23) 2:(17,27) Avatar 2:(17,27) Moving north.
0:(25,29) 1:(19,23) 2:(17,27) Avatar 0:(25,29) Moving west.
0:(24,29) 1:(19,23) 2:(17,27) Avatar 1:(19,23) Moving north.
0:(24,29) 1:(19,22) 2:(17,27) Avatar 2:(17,27) Moving east.
0:(24,29) 1:(19,22) 2:(17,27) Avatar 0:(24,29) Moving north.
0:(24,29) 1:(19,22) 2:(17,27) Avatar 1:(19,22) Moving north.
0:(24,29) 1:(19,22) 2:(17,27) Avatar 2:(17,27) Moving west.
0:(24,29) 1:(19,22) 2:(17,27) Avatar 0:(24,29) Moving west.
0:(23,29) 1:(19,22) 2:(17,27) Avatar 1:(19,22) Moving east.
0:(23,29) 1:(19,22) 2:(17,27) Avatar 2:(17,27) Moving south.
0:(23,29) 1:(19,22) 2:(17,28) Avatar 0:(23,29) Moving north.
0:(23,29) 1:(19,22) 2:(17,28) Avatar 1:(19,22) Moving west.
0:(23,29) 1:(19,22) 2:(17,28) Avatar 2:(17,28) Moving east.
0:(23,29) 1:(19,22) 2:(18,28) Avatar 0:(23,29) Moving south.
0:(23,29) 1:(19,22) 2:(18,28) Avatar 1:(19,22) Moving south.
0:(23,29) 1:(19,23) 2:(18,28) Avatar 2:(18,28) Moving north.
0:(23,29) 1:(19,23) 2:(18,27) Avatar 0:(23,29) Moving west.
0:(22,29) 1:(19,23) 2:(18,27) Avatar 1:(19,23) Moving south.
0:(22,29) 1:(19,23) 2:(18,27) Avatar 2:(18,27) Moving north.
0:(22,29) 1:(19,23) 2:(18,26) Avatar 0:(22,29) Moving north.
0:(22,28) 1:(19,23) 2:(18,26) Avatar 1:(19,23) Moving west.
0:(22,28) 1:(19,23) 2:(18,26) Avatar 2:(18,26) Moving north.
0:(22,28) 1:(19,23) 2:(18,25) Avatar 0:(22,28) Moving north.
0:(22,28) 1:(19,23) 2:(18,25) Avatar 1:(19,23) Moving east.
0:(22,28) 1:(20,23) 2:(18,25) Avatar 2:(18,25) Moving north.
0:(22,28) 1:(20,23) 2:(18,25) Avatar 0:(22,28) Moving east.
0:(22,28) 1:(20,23) 2:(18,25) Avatar 1:(20,23) Moving north.
0:(22,28) 1:(20,22) 2:(18,25) Avatar 2:(18,25) Moving east.
0:(22,28) 1:(20,22) 2:(19,25) Avatar 0:(22,28) Moving west.
0:(21,28) 1:(20,22) 2:(19,25) Avatar 1:(20,22) Moving north.
0:(21,28) 1:(20,21) 2:(19,25) Avatar 2:(19,25) Moving north.
0:(21,28) 1:(20,21) 2:(19,24) Avatar 0:(21,28) Moving north.
0:(21,28) 1:(20,21) 2:(19,24) Avatar 1:(20,21) Moving west.
0:(21,28) 1:(20,21) 2:(19,24) Avatar 2:(19,24) Moving west.
0:(21,28) 1:(20,21) 2:(18,24) Avatar 0:(21,28) Moving south.
0:(21,29) 1:(20,21) 2:(18,24) Avatar 1:(20,21) Moving north.
0:(21,29) 1:(20,20) 2:(18,24) Avatar 2:(18,24) Moving north.
0:(21,29) 1:(20,20) 2:(18,23) Avatar 0:(21,29) Moving east.
0:(21,29) 1:(20,20) 2:(18,23) Avatar 1:(20,20) Moving west.
0:(21,29) 1:(20,20) 2:(18,23) Avatar 2:(18,23) Moving north.
0:(21,29) 1:(20,20) 2:(18,22) Avatar 0:(21,29) Moving south.
0:(21,29) 1:(20,20) 2:(18,22) Avatar 1:(20,20) Moving north.
0:(21,29) 1:(20,19) 2:(18,22) Avatar 2:(18,22) Moving north.
0:(21,29) 1:(20,19) 2:(18,21) Avatar 0:(21,29) Moving west.
0:(20,29) 1:(20,19) 2:(18,21) Avatar 1:(20,19) Moving west.
0:(20,29) 1:(19,19) 2:(18,21) Avatar 2:(18,21) Moving north.
0:(20,29) 1:(19,19) 2:(18,21) Avatar 0:(20,29) Moving north.
0:(20,28) 1:(19,19) 2:(18,21) Avatar 1:(19,19) Moving south.
0:(20,28) 1:(19,20) 2:(18,21) Avatar 2:(18,21) Moving east.
0:(20,28) 1:(19,20) 2:(19,21) Avatar 0:(20,28) Moving north.
0:(20,27) 1:(19,20) 2:(19,21) Avatar 1:(19,20) Moving south.
0:(20,27) 1:(19,21) 2:(19,21) Avatar 2:(19,21) Moving north.
0:(20,27) 1:(19,21) 2:(19,20) Avatar 0:(20,27) Moving north.
0:(20,27) 1:(19,21) 2:(19,20) Avatar 1:(19,21) Moving north.
0:(20,27) 1:(19,20) 2:(19,20) Avatar 2:(19,20) Moving west.
0:(20,27) 1:(19,20) 2:(19,20) Avatar 0:(20,27) Moving east.
0:(20,27) 1:(19,20) 2:(19,20) Avatar 1:(19,20) Sleeping.
0:(20,27) 1:(19,20) 2:(19,20) Avatar 2:(19,20) Moving north.
0:(20,27) 1:(19,20) 2:(19,19) Avatar 0:(20,27) Moving west.
0:(19,27) 1:(19,20) 2:(19,19) Avatar 1:(19,20) Moving north.
0:(19,27) 1:(19,19) 2:(19,19) Avatar 2:(19,19) Moving west.
0:(19,27) 1:(19,19) 2:(18,19) Avatar 0:(19,27) Moving north.
0:(19,26) 1:(19,19) 2:(18,19) Avatar 1:(19,19) Moving west.
0:(19,26) 1:(18,19) 2:(18,19) Avatar 2:(18,19) Moving west.
